id,caption,language,platform,post_time,reach,likes,comments,shares,conversion,quality_score
20,"Enjoy unmatched customer service, exclusive offers, and premium quality products when you choose us. Start shopping today and make the smart choice!",English,Twitter,5/5/2024 11:57,13852,2535,419,170,1309,89
21,"Enjoy unmatched customer service, exclusive offers, and premium quality products when you choose us. Start shopping today and make the smart choice!",English,Twitter,9/25/2024 8:33,5521,931,51,66,145,84
22,Discover our brand new fashion arrivals with premium quality materials and elegant designs – available now in limited stock. Don’t miss the chance to upgrade your style today!,English,Instagram,3/8/2024 13:41,7349,1945,387,215,394,100
23,Join our community of satisfied customers and explore our innovative products that make your life easier and more enjoyable. Order today and enjoy fast delivery!,English,Twitter,2/14/2024 3:01,12101,2169,342,152,935,90
24,"Boost your business growth with our all-in-one digital marketing solution, trusted by thousands of entrepreneurs worldwide. Start your journey towards success now!",English,Twitter,9/30/2024 6:41,4776,414,75,45,369,65
25,Take advantage of our seasonal promotions with unmatched discounts and special bundle offers designed to give you the best value for your money.,English,Twitter,3/9/2024 16:45,7587,1883,354,143,684,99
26,"Get the ultimate shopping experience with our mobile app that offers convenience, security, and personalized recommendations based on your preferences.",English,Instagram,10/20/2024 11:46,7013,754,99,57,621,97
27,"Enjoy unmatched customer service, exclusive offers, and premium quality products when you choose us. Start shopping today and make the smart choice!",English,Facebook,9/25/2024 11:38,13141,2112,363,144,1210,40
28,Discover our brand new fashion arrivals with premium quality materials and elegant designs – available now in limited stock. Don’t miss the chance to upgrade your style today!,English,Facebook,4/3/2024 16:09,1727,416,36,54,50,43
29,Shop smarter and save more with our exclusive deals and limited-time offers. Browse our latest collection and experience shopping like never before!,English,Twitter,4/29/2024 11:53,3292,265,14,35,315,55
30,Join our community of satisfied customers and explore our innovative products that make your life easier and more enjoyable. Order today and enjoy fast delivery!,English,Facebook,7/18/2024 3:38,16891,2975,266,328,595,76
31,"Stay ahead of the trend with our cutting-edge tech gadgets designed to simplify your daily routine. Limited quantities available, so grab yours today before it’s gone!",English,Twitter,4/10/2024 17:00,11132,2081,306,153,576,53
32,"Upgrade your home or office with our stylish and durable furniture collection. Designed to bring comfort and class, these items are available for a short time only!",English,Facebook,12/28/2024 8:17,8969,2031,224,175,513,67
33,Shop smarter and save more with our exclusive deals and limited-time offers. Browse our latest collection and experience shopping like never before!,English,Instagram,7/15/2024 1:28,1960,395,61,36,142,79
34,Take advantage of our seasonal promotions with unmatched discounts and special bundle offers designed to give you the best value for your money.,English,Twitter,2/27/2024 16:09,5882,1396,110,153,471,67
35,Take advantage of our seasonal promotions with unmatched discounts and special bundle offers designed to give you the best value for your money.,English,Facebook,10/6/2024 4:13,7501,1616,223,190,717,84
36,"Upgrade your home or office with our stylish and durable furniture collection. Designed to bring comfort and class, these items are available for a short time only!",English,Facebook,1/26/2024 15:06,7391,1626,247,100,657,73
37,"Get the ultimate shopping experience with our mobile app that offers convenience, security, and personalized recommendations based on your preferences.",English,Instagram,10/5/2024 10:56,5360,1502,132,161,191,73
38,"Enjoy unmatched customer service, exclusive offers, and premium quality products when you choose us. Start shopping today and make the smart choice!",English,Instagram,5/10/2024 8:42,18357,3126,500,203,235,57
39,Shop smarter and save more with our exclusive deals and limited-time offers. Browse our latest collection and experience shopping like never before!,English,Twitter,2/11/2024 17:55,18958,1298,108,85,1708,59
40,"Stay ahead of the trend with our cutting-edge tech gadgets designed to simplify your daily routine. Limited quantities available, so grab yours today before it’s gone!",English,Facebook,9/28/2024 6:01,2351,272,52,37,183,98
41,Shop smarter and save more with our exclusive deals and limited-time offers. Browse our latest collection and experience shopping like never before!,English,Instagram,12/8/2024 13:37,10066,570,33,81,175,85
42,"Get the ultimate shopping experience with our mobile app that offers convenience, security, and personalized recommendations based on your preferences.",English,Instagram,3/4/2024 23:00,9845,2925,317,208,862,45
43,Discover our brand new fashion arrivals with premium quality materials and elegant designs – available now in limited stock. Don’t miss the chance to upgrade your style today!,English,Instagram,4/3/2024 15:11,17886,3937,211,482,1603,79
44,Join our community of satisfied customers and explore our innovative products that make your life easier and more enjoyable. Order today and enjoy fast delivery!,English,Facebook,2/3/2024 22:37,6361,457,52,36,524,45
45,Discover our brand new fashion arrivals with premium quality materials and elegant designs – available now in limited stock. Don’t miss the chance to upgrade your style today!,English,Facebook,12/21/2024 10:19,351,23,3,2,28,58
46,"Boost your business growth with our all-in-one digital marketing solution, trusted by thousands of entrepreneurs worldwide. Start your journey towards success now!",English,Facebook,2/16/2024 14:09,10474,1248,96,179,255,50
47,"Boost your business growth with our all-in-one digital marketing solution, trusted by thousands of entrepreneurs worldwide. Start your journey towards success now!",English,Instagram,5/23/2024 10:13,10531,618,55,66,217,59
48,"Enjoy unmatched customer service, exclusive offers, and premium quality products when you choose us. Start shopping today and make the smart choice!",English,Facebook,11/29/2024 7:17,10651,2669,471,313,442,92
49,Discover our brand new fashion arrivals with premium quality materials and elegant designs – available now in limited stock. Don’t miss the chance to upgrade your style today!,English,Twitter,5/25/2024 0:25,943,162,21,15,72,74
50,"Enjoy unmatched customer service, exclusive offers, and premium quality products when you choose us. Start shopping today and make the smart choice!",English,Facebook,8/25/2024 0:55,14569,952,129,83,178,69
51,"Boost your business growth with our all-in-one digital marketing solution, trusted by thousands of entrepreneurs worldwide. Start your journey towards success now!",English,Twitter,4/10/2024 8:54,3839,296,19,38,139,60
52,"Get the ultimate shopping experience with our mobile app that offers convenience, security, and personalized recommendations based on your preferences.",English,Instagram,4/15/2024 16:20,8279,2301,218,296,810,88
53,Shop smarter and save more with our exclusive deals and limited-time offers. Browse our latest collection and experience shopping like never before!,English,Instagram,7/27/2024 6:00,19127,4166,315,589,873,90
54,"Boost your business growth with our all-in-one digital marketing solution, trusted by thousands of entrepreneurs worldwide. Start your journey towards success now!",English,Twitter,4/7/2024 7:51,14577,3900,725,301,1295,72
55,"Stay ahead of the trend with our cutting-edge tech gadgets designed to simplify your daily routine. Limited quantities available, so grab yours today before it’s gone!",English,Twitter,12/19/2024 23:16,3202,326,25,22,138,43
56,"Stay ahead of the trend with our cutting-edge tech gadgets designed to simplify your daily routine. Limited quantities available, so grab yours today before it’s gone!",English,Facebook,5/15/2024 2:31,18291,4057,787,539,1782,91
57,Shop smarter and save more with our exclusive deals and limited-time offers. Browse our latest collection and experience shopping like never before!,English,Twitter,8/25/2024 5:56,15761,1881,141,242,168,52
58,Celebrate this festive season with amazing gift options for your loved ones. Our carefully curated gift collections are sure to bring smiles and happiness!,English,Twitter,9/19/2024 12:22,6156,1378,81,75,542,82
59,"Enjoy unmatched customer service, exclusive offers, and premium quality products when you choose us. Start shopping today and make the smart choice!",English,Facebook,9/24/2024 14:33,5064,1439,87,133,505,54
60,Shop smarter and save more with our exclusive deals and limited-time offers. Browse our latest collection and experience shopping like never before!,English,Instagram,9/12/2024 11:47,3837,380,48,28,278,75
61,Take advantage of our seasonal promotions with unmatched discounts and special bundle offers designed to give you the best value for your money.,English,Instagram,12/1/2024 19:52,11265,2866,414,275,483,44
62,Shop smarter and save more with our exclusive deals and limited-time offers. Browse our latest collection and experience shopping like never before!,English,Instagram,11/26/2024 7:17,5648,610,54,89,263,61
63,Join our community of satisfied customers and explore our innovative products that make your life easier and more enjoyable. Order today and enjoy fast delivery!,English,Twitter,8/6/2024 23:06,16135,1540,157,205,948,66
64,"Stay ahead of the trend with our cutting-edge tech gadgets designed to simplify your daily routine. Limited quantities available, so grab yours today before it’s gone!",English,Facebook,12/16/2024 12:20,11539,720,65,55,276,70
65,"Boost your business growth with our all-in-one digital marketing solution, trusted by thousands of entrepreneurs worldwide. Start your journey towards success now!",English,Facebook,4/6/2024 2:50,15989,1759,269,120,525,61
66,Take advantage of our seasonal promotions with unmatched discounts and special bundle offers designed to give you the best value for your money.,English,Facebook,2/27/2024 21:11,18894,5278,819,295,780,66
67,Shop smarter and save more with our exclusive deals and limited-time offers. Browse our latest collection and experience shopping like never before!,English,Instagram,8/14/2024 10:43,14297,3105,546,279,214,76
68,Celebrate this festive season with amazing gift options for your loved ones. Our carefully curated gift collections are sure to bring smiles and happiness!,English,Facebook,9/22/2024 18:47,18619,2750,165,387,683,79
69,"Boost your business growth with our all-in-one digital marketing solution, trusted by thousands of entrepreneurs worldwide. Start your journey towards success now!",English,Twitter,11/2/2024 18:29,8299,1308,115,130,463,43
70,"Enjoy unmatched customer service, exclusive offers, and premium quality products when you choose us. Start shopping today and make the smart choice!",English,Instagram,10/30/2024 20:56,12685,994,86,89,192,65
71,"Enjoy unmatched customer service, exclusive offers, and premium quality products when you choose us. Start shopping today and make the smart choice!",English,Instagram,5/29/2024 0:40,3405,630,42,48,321,53
72,Discover our brand new fashion arrivals with premium quality materials and elegant designs – available now in limited stock. Don’t miss the chance to upgrade your style today!,English,Instagram,12/4/2024 6:32,2448,700,54,55,87,56
73,"Boost your business growth with our all-in-one digital marketing solution, trusted by thousands of entrepreneurs worldwide. Start your journey towards success now!",English,Twitter,6/24/2024 22:19,3058,489,27,66,219,83
74,Shop smarter and save more with our exclusive deals and limited-time offers. Browse our latest collection and experience shopping like never before!,English,Facebook,9/14/2024 9:36,3453,336,57,47,121,99
75,Take advantage of our seasonal promotions with unmatched discounts and special bundle offers designed to give you the best value for your money.,English,Instagram,11/28/2024 9:59,8037,600,97,56,265,73
76,Shop smarter and save more with our exclusive deals and limited-time offers. Browse our latest collection and experience shopping like never before!,English,Twitter,10/13/2024 23:39,19080,5653,492,346,1886,40
77,"Enjoy unmatched customer service, exclusive offers, and premium quality products when you choose us. Start shopping today and make the smart choice!",English,Facebook,6/30/2024 16:42,10726,2977,167,221,737,64
78,Discover our brand new fashion arrivals with premium quality materials and elegant designs – available now in limited stock. Don’t miss the chance to upgrade your style today!,English,Instagram,10/17/2024 7:30,9379,1656,241,150,252,63
79,"Stay ahead of the trend with our cutting-edge tech gadgets designed to simplify your daily routine. Limited quantities available, so grab yours today before it’s gone!",English,Instagram,8/23/2024 16:56,3393,173,32,24,137,51
80,Take advantage of our seasonal promotions with unmatched discounts and special bundle offers designed to give you the best value for your money.,English,Instagram,5/25/2024 2:30,11665,2112,250,214,1118,90
81,Take advantage of our seasonal promotions with unmatched discounts and special bundle offers designed to give you the best value for your money.,English,Twitter,12/24/2024 6:13,17934,5135,270,632,941,91
82,"Boost your business growth with our all-in-one digital marketing solution, trusted by thousands of entrepreneurs worldwide. Start your journey towards success now!",English,Instagram,2/11/2024 22:00,5314,768,89,82,517,64
83,Join our community of satisfied customers and explore our innovative products that make your life easier and more enjoyable. Order today and enjoy fast delivery!,English,Twitter,5/16/2024 2:20,9332,1212,175,153,763,62
84,Join our community of satisfied customers and explore our innovative products that make your life easier and more enjoyable. Order today and enjoy fast delivery!,English,Instagram,8/13/2024 16:38,8723,2391,128,316,299,51
85,Celebrate this festive season with amazing gift options for your loved ones. Our carefully curated gift collections are sure to bring smiles and happiness!,English,Facebook,1/6/2024 21:46,10373,2503,218,195,749,65
86,"Boost your business growth with our all-in-one digital marketing solution, trusted by thousands of entrepreneurs worldwide. Start your journey towards success now!",English,Facebook,9/17/2024 22:30,18854,3175,424,278,1056,51
87,"Boost your business growth with our all-in-one digital marketing solution, trusted by thousands of entrepreneurs worldwide. Start your journey towards success now!",English,Instagram,2/1/2024 15:15,8727,1398,265,180,797,88
88,"Enjoy unmatched customer service, exclusive offers, and premium quality products when you choose us. Start shopping today and make the smart choice!",English,Instagram,5/28/2024 16:14,1266,375,66,35,21,61
89,Join our community of satisfied customers and explore our innovative products that make your life easier and more enjoyable. Order today and enjoy fast delivery!,English,Instagram,4/20/2024 21:49,16640,843,75,71,1644,81
90,Celebrate this festive season with amazing gift options for your loved ones. Our carefully curated gift collections are sure to bring smiles and happiness!,English,Instagram,6/4/2024 11:59,16712,2487,349,318,329,53
91,Take advantage of our seasonal promotions with unmatched discounts and special bundle offers designed to give you the best value for your money.,English,Facebook,10/12/2024 10:34,1983,428,72,25,152,89
92,"Enjoy unmatched customer service, exclusive offers, and premium quality products when you choose us. Start shopping today and make the smart choice!",English,Twitter,6/4/2024 5:39,5057,1433,172,180,237,45
93,"Stay ahead of the trend with our cutting-edge tech gadgets designed to simplify your daily routine. Limited quantities available, so grab yours today before it’s gone!",English,Facebook,10/5/2024 6:02,16033,3133,409,210,472,70
94,Discover our brand new fashion arrivals with premium quality materials and elegant designs – available now in limited stock. Don’t miss the chance to upgrade your style today!,English,Instagram,4/6/2024 22:46,13818,4031,537,393,1343,40
95,"Stay ahead of the trend with our cutting-edge tech gadgets designed to simplify your daily routine. Limited quantities available, so grab yours today before it’s gone!",English,Instagram,2/20/2024 4:51,3333,781,78,109,106,96
96,Join our community of satisfied customers and explore our innovative products that make your life easier and more enjoyable. Order today and enjoy fast delivery!,English,Facebook,1/13/2024 0:37,11535,2111,117,106,301,92
97,Celebrate this festive season with amazing gift options for your loved ones. Our carefully curated gift collections are sure to bring smiles and happiness!,English,Twitter,1/24/2024 12:20,5253,689,48,100,454,40
98,"Boost your business growth with our all-in-one digital marketing solution, trusted by thousands of entrepreneurs worldwide. Start your journey towards success now!",English,Instagram,8/4/2024 20:35,12431,1206,93,174,470,98
99,Take advantage of our seasonal promotions with unmatched discounts and special bundle offers designed to give you the best value for your money.,English,Twitter,1/24/2024 15:23,11000,1822,147,117,1055,93
100,Discover our brand new fashion arrivals with premium quality materials and elegant designs – available now in limited stock. Don’t miss the chance to upgrade your style today!,English,Twitter,11/28/2024 17:27,11021,620,100,63,930,43
101,"Upgrade your home or office with our stylish and durable furniture collection. Designed to bring comfort and class, these items are available for a short time only!",English,Instagram,5/10/2024 9:51,5049,488,28,28,162,100
102,"Boost your business growth with our all-in-one digital marketing solution, trusted by thousands of entrepreneurs worldwide. Start your journey towards success now!",English,Twitter,1/26/2024 18:20,4638,815,58,94,197,43
103,"Upgrade your home or office with our stylish and durable furniture collection. Designed to bring comfort and class, these items are available for a short time only!",English,Facebook,1/30/2024 12:03,1720,99,14,14,88,72
104,Celebrate this festive season with amazing gift options for your loved ones. Our carefully curated gift collections are sure to bring smiles and happiness!,English,Facebook,5/15/2024 18:36,4026,369,37,23,246,83
105,"Enjoy unmatched customer service, exclusive offers, and premium quality products when you choose us. Start shopping today and make the smart choice!",English,Twitter,12/31/2024 0:19,19025,1944,169,117,1375,69
106,Celebrate this festive season with amazing gift options for your loved ones. Our carefully curated gift collections are sure to bring smiles and happiness!,English,Facebook,7/16/2024 23:21,12870,2812,478,148,731,67
107,Discover our brand new fashion arrivals with premium quality materials and elegant designs – available now in limited stock. Don’t miss the chance to upgrade your style today!,English,Twitter,1/14/2024 0:31,7660,1855,98,191,535,65
108,"Stay ahead of the trend with our cutting-edge tech gadgets designed to simplify your daily routine. Limited quantities available, so grab yours today before it’s gone!",English,Instagram,7/25/2024 7:04,10525,2548,317,259,559,70
109,"Upgrade your home or office with our stylish and durable furniture collection. Designed to bring comfort and class, these items are available for a short time only!",English,Twitter,7/4/2024 3:12,18649,938,139,124,817,91
110,Discover our brand new fashion arrivals with premium quality materials and elegant designs – available now in limited stock. Don’t miss the chance to upgrade your style today!,English,Twitter,1/16/2024 20:58,13663,3813,605,569,1061,98
111,Take advantage of our seasonal promotions with unmatched discounts and special bundle offers designed to give you the best value for your money.,English,Instagram,4/20/2024 15:51,8019,2302,259,181,429,77
112,"Stay ahead of the trend with our cutting-edge tech gadgets designed to simplify your daily routine. Limited quantities available, so grab yours today before it’s gone!",English,Instagram,12/26/2024 17:12,13796,3404,272,324,425,84
113,"Stay ahead of the trend with our cutting-edge tech gadgets designed to simplify your daily routine. Limited quantities available, so grab yours today before it’s gone!",English,Twitter,12/4/2024 14:38,5054,587,103,72,124,43
114,Discover our brand new fashion arrivals with premium quality materials and elegant designs – available now in limited stock. Don’t miss the chance to upgrade your style today!,English,Twitter,12/1/2024 3:34,15836,4309,733,450,1469,44
115,Shop smarter and save more with our exclusive deals and limited-time offers. Browse our latest collection and experience shopping like never before!,English,Instagram,12/6/2024 23:38,17042,5013,827,529,1507,98
116,Shop smarter and save more with our exclusive deals and limited-time offers. Browse our latest collection and experience shopping like never before!,English,Instagram,12/29/2024 14:07,17022,3444,637,375,819,41
117,"Upgrade your home or office with our stylish and durable furniture collection. Designed to bring comfort and class, these items are available for a short time only!",English,Facebook,2/9/2024 19:30,9442,800,51,85,521,47
118,Shop smarter and save more with our exclusive deals and limited-time offers. Browse our latest collection and experience shopping like never before!,English,Twitter,5/16/2024 2:00,17130,1500,276,215,896,79
119,"Stay ahead of the trend with our cutting-edge tech gadgets designed to simplify your daily routine. Limited quantities available, so grab yours today before it’s gone!",English,Twitter,7/15/2024 11:52,7376,1715,257,125,190,92
120,"Upgrade your home or office with our stylish and durable furniture collection. Designed to bring comfort and class, these items are available for a short time only!",English,Instagram,1/23/2024 14:54,12845,3694,445,208,550,92
121,Join our community of satisfied customers and explore our innovative products that make your life easier and more enjoyable. Order today and enjoy fast delivery!,English,Instagram,9/17/2024 18:04,8596,741,82,85,129,65
122,"Boost your business growth with our all-in-one digital marketing solution, trusted by thousands of entrepreneurs worldwide. Start your journey towards success now!",English,Instagram,9/1/2024 16:44,13059,2857,359,213,1263,68
123,Shop smarter and save more with our exclusive deals and limited-time offers. Browse our latest collection and experience shopping like never before!,English,Instagram,11/3/2024 5:16,4127,414,51,35,50,40
124,Join our community of satisfied customers and explore our innovative products that make your life easier and more enjoyable. Order today and enjoy fast delivery!,English,Facebook,5/11/2024 7:41,6386,714,100,43,262,66
125,"Get the ultimate shopping experience with our mobile app that offers convenience, security, and personalized recommendations based on your preferences.",English,Twitter,3/25/2024 17:18,4023,1026,124,123,322,94
126,Shop smarter and save more with our exclusive deals and limited-time offers. Browse our latest collection and experience shopping like never before!,English,Facebook,12/2/2024 3:34,5958,1447,147,146,217,47
127,Join our community of satisfied customers and explore our innovative products that make your life easier and more enjoyable. Order today and enjoy fast delivery!,English,Instagram,6/6/2024 8:05,4678,382,47,25,145,93
128,"Enjoy unmatched customer service, exclusive offers, and premium quality products when you choose us. Start shopping today and make the smart choice!",English,Twitter,5/28/2024 18:47,6796,1305,139,94,503,93
129,"Enjoy unmatched customer service, exclusive offers, and premium quality products when you choose us. Start shopping today and make the smart choice!",English,Facebook,10/29/2024 17:43,681,149,9,18,21,58
130,"Boost your business growth with our all-in-one digital marketing solution, trusted by thousands of entrepreneurs worldwide. Start your journey towards success now!",English,Facebook,6/22/2024 10:18,7234,756,78,104,168,88
131,Join our community of satisfied customers and explore our innovative products that make your life easier and more enjoyable. Order today and enjoy fast delivery!,English,Facebook,11/25/2024 8:23,2892,425,53,22,134,50
132,"Upgrade your home or office with our stylish and durable furniture collection. Designed to bring comfort and class, these items are available for a short time only!",English,Twitter,5/7/2024 19:04,15559,1354,109,190,750,97
133,Discover our brand new fashion arrivals with premium quality materials and elegant designs – available now in limited stock. Don’t miss the chance to upgrade your style today!,English,Instagram,1/3/2024 15:49,19196,5156,607,602,592,55
134,"Upgrade your home or office with our stylish and durable furniture collection. Designed to bring comfort and class, these items are available for a short time only!",English,Twitter,6/10/2024 15:58,12299,1188,70,88,995,87
135,Celebrate this festive season with amazing gift options for your loved ones. Our carefully curated gift collections are sure to bring smiles and happiness!,English,Facebook,5/13/2024 4:15,965,285,45,26,62,54
136,"Stay ahead of the trend with our cutting-edge tech gadgets designed to simplify your daily routine. Limited quantities available, so grab yours today before it’s gone!",English,Twitter,4/11/2024 6:29,7083,893,77,66,122,68
137,"Boost your business growth with our all-in-one digital marketing solution, trusted by thousands of entrepreneurs worldwide. Start your journey towards success now!",English,Twitter,1/29/2024 21:39,3939,917,177,70,62,52
138,Take advantage of our seasonal promotions with unmatched discounts and special bundle offers designed to give you the best value for your money.,English,Instagram,11/29/2024 10:16,5071,1499,277,130,103,62
139,"Upgrade your home or office with our stylish and durable furniture collection. Designed to bring comfort and class, these items are available for a short time only!",English,Twitter,2/24/2024 18:15,14290,1649,100,148,983,53
140,Celebrate this festive season with amazing gift options for your loved ones. Our carefully curated gift collections are sure to bring smiles and happiness!,English,Instagram,6/24/2024 0:05,16571,3338,456,496,1133,89
141,Join our community of satisfied customers and explore our innovative products that make your life easier and more enjoyable. Order today and enjoy fast delivery!,English,Facebook,6/28/2024 0:53,11024,959,184,143,163,94
142,Shop smarter and save more with our exclusive deals and limited-time offers. Browse our latest collection and experience shopping like never before!,English,Facebook,4/15/2024 9:04,4533,520,78,73,269,88
143,Take advantage of our seasonal promotions with unmatched discounts and special bundle offers designed to give you the best value for your money.,English,Twitter,10/1/2024 15:19,6848,782,89,62,302,50
144,"Upgrade your home or office with our stylish and durable furniture collection. Designed to bring comfort and class, these items are available for a short time only!",English,Facebook,3/26/2024 4:35,12550,2151,247,119,725,99
145,Discover our brand new fashion arrivals with premium quality materials and elegant designs – available now in limited stock. Don’t miss the chance to upgrade your style today!,English,Instagram,5/25/2024 13:37,7041,828,149,72,624,86
146,"Get the ultimate shopping experience with our mobile app that offers convenience, security, and personalized recommendations based on your preferences.",English,Twitter,6/26/2024 19:32,9037,2391,182,166,758,76
147,"Stay ahead of the trend with our cutting-edge tech gadgets designed to simplify your daily routine. Limited quantities available, so grab yours today before it’s gone!",English,Twitter,10/3/2024 2:18,976,210,21,30,30,53
148,Take advantage of our seasonal promotions with unmatched discounts and special bundle offers designed to give you the best value for your money.,English,Instagram,1/25/2024 12:03,17966,915,67,128,1335,81
149,Shop smarter and save more with our exclusive deals and limited-time offers. Browse our latest collection and experience shopping like never before!,English,Twitter,3/28/2024 17:57,7058,1082,167,67,202,48
150,"Boost your business growth with our all-in-one digital marketing solution, trusted by thousands of entrepreneurs worldwide. Start your journey towards success now!",English,Instagram,9/19/2024 19:25,10473,2338,129,292,119,50
151,Take advantage of our seasonal promotions with unmatched discounts and special bundle offers designed to give you the best value for your money.,English,Twitter,5/18/2024 4:35,13466,2204,192,141,408,66
152,Discover our brand new fashion arrivals with premium quality materials and elegant designs – available now in limited stock. Don’t miss the chance to upgrade your style today!,English,Instagram,10/31/2024 2:25,5782,1495,294,198,257,81
153,"Stay ahead of the trend with our cutting-edge tech gadgets designed to simplify your daily routine. Limited quantities available, so grab yours today before it’s gone!",English,Facebook,4/2/2024 22:48,11392,1193,98,60,467,100
154,"Enjoy unmatched customer service, exclusive offers, and premium quality products when you choose us. Start shopping today and make the smart choice!",English,Twitter,6/28/2024 15:26,7407,1998,191,158,281,93
155,"Boost your business growth with our all-in-one digital marketing solution, trusted by thousands of entrepreneurs worldwide. Start your journey towards success now!",English,Instagram,9/1/2024 13:00,3372,208,20,21,131,61
156,"Boost your business growth with our all-in-one digital marketing solution, trusted by thousands of entrepreneurs worldwide. Start your journey towards success now!",English,Facebook,1/5/2024 18:36,3209,695,49,55,112,96
157,Shop smarter and save more with our exclusive deals and limited-time offers. Browse our latest collection and experience shopping like never before!,English,Twitter,1/19/2024 7:31,12918,1618,173,233,136,52
158,"Upgrade your home or office with our stylish and durable furniture collection. Designed to bring comfort and class, these items are available for a short time only!",English,Facebook,8/29/2024 19:52,18705,5332,276,268,661,76
159,Join our community of satisfied customers and explore our innovative products that make your life easier and more enjoyable. Order today and enjoy fast delivery!,English,Facebook,6/4/2024 6:44,3269,536,40,79,49,57
160,Take advantage of our seasonal promotions with unmatched discounts and special bundle offers designed to give you the best value for your money.,English,Facebook,9/9/2024 12:11,4862,1178,223,75,401,79
161,Celebrate this festive season with amazing gift options for your loved ones. Our carefully curated gift collections are sure to bring smiles and happiness!,English,Twitter,2/7/2024 4:13,1496,228,37,26,17,100
162,Join our community of satisfied customers and explore our innovative products that make your life easier and more enjoyable. Order today and enjoy fast delivery!,English,Twitter,7/20/2024 21:43,1820,529,59,57,178,85
163,Join our community of satisfied customers and explore our innovative products that make your life easier and more enjoyable. Order today and enjoy fast delivery!,English,Facebook,8/6/2024 13:01,18351,4170,459,587,442,67
164,"Stay ahead of the trend with our cutting-edge tech gadgets designed to simplify your daily routine. Limited quantities available, so grab yours today before it’s gone!",English,Facebook,3/26/2024 14:27,14202,1015,153,141,424,76
165,"Stay ahead of the trend with our cutting-edge tech gadgets designed to simplify your daily routine. Limited quantities available, so grab yours today before it’s gone!",English,Instagram,3/10/2024 22:44,4197,871,87,100,204,53
166,Celebrate this festive season with amazing gift options for your loved ones. Our carefully curated gift collections are sure to bring smiles and happiness!,English,Facebook,12/9/2024 7:13,1825,196,33,15,131,62
167,Shop smarter and save more with our exclusive deals and limited-time offers. Browse our latest collection and experience shopping like never before!,English,Twitter,1/20/2024 5:38,3783,394,24,21,214,73
